,Tweet,Sarcasm (yes/no)
244,"the concert are so wonderful, said no one ever.",yes
245,"Everyone loves this movie, right?",yes
246,Can't wait for more of the workshop.,no
247,Because engineers really make everything better.,yes
248,"Oh great, another artists. Just what I needed.",yes
249,"Everyone loves the concert, right?",yes
250,I am always excited for engineers.,no
251,"this book are so wonderful, said no one ever.",yes
252,"Oh great, another writers. Just what I needed.",yes
253,"Had a doctors, best experience ever. Not.",yes
254,artists are truly inspiring.,no
255,Because vegetarians really make everything better.,yes
256,this movie have always been great.,no
257,athletes are genuinely amazing.,no
258,scientists are genuinely amazing.,no
259,I genuinely love engineers.,no
260,Had a great time with athletes.,no
261,"Oh great, another vegetarians. Just what I needed.",yes
262,Because scientists really make everything better.,yes
263,"Oh great, another scientists. Just what I needed.",yes
264,the game are genuinely amazing.,no
265,musicians are truly inspiring.,no
266,the meal have always been great.,no
267,I just love when scientists happens.,yes
268,"the game are so wonderful, said no one ever.",yes
269,I just love when engineers happens.,yes
270,I am always excited for the concert.,no
271,Because vegetarians really make everything better.,yes
272,the game have always been great.,no
273,"Everyone loves writers, right?",yes
274,Because vegetarians really make everything better.,yes
275,Can't wait for more of this movie.,no
276,"Had a the meal, best experience ever. Not.",yes
277,"this book are so wonderful, said no one ever.",yes
278,this book have always been great.,no
279,"Everyone loves the concert, right?",yes
280,Can't wait for more of artists.,yes
281,I just love when the conference happens.,yes
282,I genuinely love the workshop.,no
283,"the game are so wonderful, said no one ever.",yes
284,Can't wait for more of the concert.,yes
285,"engineers are so wonderful, said no one ever.",yes
286,artists have always been great.,no
287,I am always excited for the conference.,no
288,I genuinely love engineers.,no
289,"Had a the game, best experience ever. Not.",yes
290,Can't wait for more of artists.,yes
291,Can't wait for more of doctors.,no
292,Because musicians really make everything better.,yes
293,Can't wait for more of scientists.,yes
294,"Everyone loves the concert, right?",yes
295,I genuinely love athletes.,no
296,I am always excited for the game.,no
297,Had a great time with the workshop.,no
298,the workshop are truly inspiring.,no
299,"writers are so wonderful, said no one ever.",yes
300,writers are genuinely amazing.,no
301,I am always excited for athletes.,no
302,my new phone are genuinely amazing.,no
303,"Everyone loves athletes, right?",yes
304,the workshop are truly inspiring.,no
305,Can't wait for more of my new phone.,yes
306,"engineers are so wonderful, said no one ever.",yes
307,Had a great time with vegetarians.,no
308,Because scientists really make everything better.,yes
309,"Had a the concert, best experience ever. Not.",yes
310,Nothing better than a the meal moment.,yes
311,"Everyone loves doctors, right?",yes
312,"Had a vegetarians, best experience ever. Not.",yes
313,Can't wait for more of athletes.,yes
314,doctors are genuinely amazing.,no
315,athletes have always been great.,no
316,Nothing better than a vegetarians moment.,yes
317,Nothing better than a the game moment.,yes
318,I find the meal to be wonderful.,no
319,Nothing better than a the conference moment.,yes
320,"Oh great, another engineers. Just what I needed.",yes
321,Because this movie really make everything better.,yes
322,Because writers really make everything better.,yes
323,Had a great time with my new phone.,no
324,I genuinely love writers.,no
325,"Oh great, another engineers. Just what I needed.",yes
326,I just love when this book happens.,yes
327,Nothing better than a engineers moment.,yes
328,"Oh great, another athletes. Just what I needed.",yes
329,"Oh great, another the concert. Just what I needed.",yes
330,"Oh great, another the game. Just what I needed.",yes
331,"this movie are so wonderful, said no one ever.",yes
332,Can't wait for more of vegetarians.,no
333,Had a great time with musicians.,no
334,"Oh great, another the concert. Just what I needed.",yes
335,"Oh great, another my new phone. Just what I needed.",yes
336,Nothing better than a musicians moment.,yes
337,Had a great time with my new phone.,no
338,I find writers to be wonderful.,no
339,"Everyone loves the game, right?",yes
340,I just love when the conference happens.,yes
341,athletes are truly inspiring.,no
342,"Oh great, another artists. Just what I needed.",yes
343,this book have always been great.,no
344,Can't wait for more of writers.,yes
345,"Everyone loves artists, right?",yes
346,I just love when athletes happens.,yes
347,I just love when athletes happens.,yes
348,I just love when musicians happens.,yes
349,"Oh great, another engineers. Just what I needed.",yes
350,Nothing better than a musicians moment.,yes
351,I genuinely love athletes.,no
352,Because the concert really make everything better.,yes
353,doctors have always been great.,no
354,Can't wait for more of this movie.,no
355,I just love when the game happens.,yes
356,Had a great time with musicians.,no
357,Nothing better than a the concert moment.,yes
358,I am always excited for doctors.,no
359,"musicians are so wonderful, said no one ever.",yes
360,doctors are genuinely amazing.,no
361,Because this book really make everything better.,yes
362,Nothing better than a artists moment.,yes
363,"Everyone loves my new phone, right?",yes
364,Can't wait for more of artists.,no
365,scientists have always been great.,no
366,the game have always been great.,no
367,Had a great time with the meal.,no
368,I genuinely love engineers.,no
369,Can't wait for more of musicians.,yes
370,Nothing better than a artists moment.,yes
371,my new phone are genuinely amazing.,no
372,Because this movie really make everything better.,yes
373,I just love when engineers happens.,yes
374,doctors are genuinely amazing.,no
375,I find engineers to be wonderful.,no
376,athletes are truly inspiring.,no
377,"Had a scientists, best experience ever. Not.",yes
378,Can't wait for more of the game.,yes
379,"the meal are so wonderful, said no one ever.",yes
380,I just love when the meal happens.,yes
381,"Everyone loves the meal, right?",yes
382,Can't wait for more of the conference.,no
383,Had a great time with the game.,no
384,"Everyone loves musicians, right?",yes
385,"Everyone loves this book, right?",yes
386,the workshop have always been great.,no
387,I find this book to be wonderful.,no
388,I find doctors to be wonderful.,no
389,Nothing better than a writers moment.,yes
390,I am always excited for this movie.,no
391,the workshop have always been great.,no
392,I find vegetarians to be wonderful.,no
393,the concert are genuinely amazing.,no
394,I am always excited for athletes.,no
395,athletes are truly inspiring.,no
396,"Had a athletes, best experience ever. Not.",yes
397,Nothing better than a my new phone moment.,yes
398,"Everyone loves musicians, right?",yes
399,the concert have always been great.,no
400,"Had a writers, best experience ever. Not.",yes
401,Can't wait for more of this movie.,yes
402,"Had a musicians, best experience ever. Not.",yes
403,Can't wait for more of the conference.,no
404,I find the game to be wonderful.,no
405,Nothing better than a writers moment.,yes
406,I just love when musicians happens.,yes
407,Can't wait for more of athletes.,yes
408,"Everyone loves vegetarians, right?",yes
409,Nothing better than a musicians moment.,yes
410,Nothing better than a the game moment.,yes
411,Because athletes really make everything better.,yes
412,I just love when musicians happens.,yes
413,Had a great time with vegetarians.,no
414,"Had a this movie, best experience ever. Not.",yes
415,I genuinely love scientists.,no
416,Can't wait for more of this book.,no
417,I find musicians to be wonderful.,no
418,I genuinely love the conference.,no
419,I genuinely love the concert.,no
420,Nothing better than a musicians moment.,yes
421,I find scientists to be wonderful.,no
422,vegetarians are genuinely amazing.,no
423,I just love when writers happens.,yes
424,"musicians are so wonderful, said no one ever.",yes
425,"athletes are so wonderful, said no one ever.",yes
426,I just love when musicians happens.,yes
427,vegetarians are genuinely amazing.,no
428,"this movie are so wonderful, said no one ever.",yes
429,I just love when vegetarians happens.,yes
430,"the meal are so wonderful, said no one ever.",yes
431,"Had a scientists, best experience ever. Not.",yes
432,Had a great time with vegetarians.,no
433,my new phone are genuinely amazing.,no
434,"Had a athletes, best experience ever. Not.",yes
435,I find athletes to be wonderful.,no
436,"Oh great, another writers. Just what I needed.",yes
437,I just love when the workshop happens.,yes
438,I am always excited for vegetarians.,no
439,Can't wait for more of writers.,no
440,Had a great time with this book.,no
441,"Oh great, another artists. Just what I needed.",yes
442,Because artists really make everything better.,yes
443,I find artists to be wonderful.,no
444,I am always excited for the meal.,no
445,I just love when writers happens.,yes
446,I just love when the conference happens.,yes
447,artists have always been great.,no
448,Because this book really make everything better.,yes
449,I find scientists to be wonderful.,no
450,athletes are genuinely amazing.,no
451,Had a great time with scientists.,no
452,I am always excited for this book.,no
453,"Oh great, another doctors. Just what I needed.",yes
454,I am always excited for engineers.,no
455,I find this book to be wonderful.,no
456,Nothing better than a the meal moment.,yes
457,Had a great time with the workshop.,no
458,engineers are truly inspiring.,no
459,Had a great time with this movie.,no
460,Nothing better than a the conference moment.,yes
461,Nothing better than a artists moment.,yes
462,Had a great time with my new phone.,no
463,I am always excited for athletes.,no
464,this movie are genuinely amazing.,no
465,Can't wait for more of this book.,yes
466,I just love when this movie happens.,yes
467,vegetarians are genuinely amazing.,no
468,I just love when my new phone happens.,yes
469,the meal are genuinely amazing.,no
470,the meal are truly inspiring.,no
471,I genuinely love doctors.,no
472,I am always excited for writers.,no
473,"Had a doctors, best experience ever. Not.",yes
474,I am always excited for the concert.,no
475,"Everyone loves scientists, right?",yes
476,"this movie are so wonderful, said no one ever.",yes
477,I just love when doctors happens.,yes
478,Because the conference really make everything better.,yes
479,"musicians are so wonderful, said no one ever.",yes
480,"Had a artists, best experience ever. Not.",yes
481,I find my new phone to be wonderful.,no
482,the meal have always been great.,no
483,Because the game really make everything better.,yes
484,"Had a my new phone, best experience ever. Not.",yes
485,I genuinely love this book.,no
486,"the game are so wonderful, said no one ever.",yes
487,the meal are genuinely amazing.,no
488,Nothing better than a scientists moment.,yes
489,artists are truly inspiring.,no
490,"Oh great, another musicians. Just what I needed.",yes
491,Had a great time with artists.,no
492,I genuinely love vegetarians.,no
493,I am always excited for this book.,no
494,I just love when the concert happens.,yes
495,I genuinely love this movie.,no
496,Because athletes really make everything better.,yes
497,I am always excited for this book.,no
498,I just love when scientists happens.,yes
499,Can't wait for more of the concert.,yes
500,musicians are genuinely amazing.,no
501,Can't wait for more of the conference.,no
502,this book have always been great.,no
503,I find musicians to be wonderful.,no
504,Can't wait for more of doctors.,no
505,"Oh great, another doctors. Just what I needed.",yes
506,this movie have always been great.,no
507,I find artists to be wonderful.,no
508,I am always excited for my new phone.,no
509,I find doctors to be wonderful.,no
510,Had a great time with engineers.,no
511,I just love when artists happens.,yes
512,the game are truly inspiring.,no
513,"Oh great, another artists. Just what I needed.",yes
514,Can't wait for more of vegetarians.,no
515,"Everyone loves engineers, right?",yes
516,I genuinely love artists.,no
517,"this movie are so wonderful, said no one ever.",yes
518,artists have always been great.,no
519,Nothing better than a the concert moment.,yes
520,"engineers are so wonderful, said no one ever.",yes
521,Had a great time with artists.,no
522,"Oh great, another the conference. Just what I needed.",yes
523,the game have always been great.,no
524,Because engineers really make everything better.,yes
525,the meal are genuinely amazing.,no
526,I find the concert to be wonderful.,no
527,"scientists are so wonderful, said no one ever.",yes
528,Because the workshop really make everything better.,yes
529,I find the conference to be wonderful.,no
530,artists are genuinely amazing.,no
531,I just love when this movie happens.,yes
532,artists are truly inspiring.,no
533,"the concert are so wonderful, said no one ever.",yes
534,I am always excited for the game.,no
535,I am always excited for the conference.,no
536,the concert have always been great.,no
537,Nothing better than a athletes moment.,yes
538,Can't wait for more of doctors.,no
539,I am always excited for engineers.,no
540,engineers are truly inspiring.,no
541,"Everyone loves artists, right?",yes
542,the game have always been great.,no
543,the game are genuinely amazing.,no
544,Had a great time with this book.,no
545,I just love when the conference happens.,yes
546,Had a great time with the concert.,no
547,I am always excited for doctors.,no
548,I just love when the conference happens.,yes
549,Nothing better than a the conference moment.,yes
550,Can't wait for more of artists.,no
551,"Everyone loves athletes, right?",yes
552,I genuinely love the workshop.,no
553,"Oh great, another this book. Just what I needed.",yes
554,I am always excited for writers.,no
555,the game are truly inspiring.,no
556,I find writers to be wonderful.,no
557,"Had a the workshop, best experience ever. Not.",yes
558,"the concert are so wonderful, said no one ever.",yes
559,"Oh great, another artists. Just what I needed.",yes
560,this movie are truly inspiring.,no
561,I am always excited for the workshop.,no
562,I genuinely love the concert.,no
563,Can't wait for more of writers.,yes
564,Can't wait for more of this book.,yes
565,"Oh great, another the meal. Just what I needed.",yes
566,I genuinely love writers.,no
567,"Everyone loves the concert, right?",yes
568,Because athletes really make everything better.,yes
569,Can't wait for more of artists.,yes
570,I genuinely love my new phone.,no
571,Can't wait for more of the game.,no
572,the concert are genuinely amazing.,no
573,"the game are so wonderful, said no one ever.",yes
574,Can't wait for more of writers.,yes
575,I just love when this book happens.,yes
576,I genuinely love musicians.,no
577,my new phone have always been great.,no
578,Can't wait for more of engineers.,yes
579,engineers are genuinely amazing.,no
580,"Had a artists, best experience ever. Not.",yes
581,I am always excited for musicians.,no
582,Can't wait for more of engineers.,no
583,"scientists are so wonderful, said no one ever.",yes
584,"Everyone loves artists, right?",yes
585,"Everyone loves engineers, right?",yes
586,I just love when the meal happens.,yes
587,I genuinely love my new phone.,no
588,I just love when the meal happens.,yes
589,Nothing better than a the meal moment.,yes
590,I genuinely love athletes.,no
591,Had a great time with scientists.,no
592,I find artists to be wonderful.,no
593,"Oh great, another this movie. Just what I needed.",yes
594,I just love when my new phone happens.,yes
595,this book are truly inspiring.,no
596,"Everyone loves musicians, right?",yes
597,I am always excited for scientists.,no
598,I find this book to be wonderful.,no
599,athletes are truly inspiring.,no
600,"musicians are so wonderful, said no one ever.",yes
601,Nothing better than a the concert moment.,yes
602,Had a great time with my new phone.,no
603,Can't wait for more of scientists.,no
604,Because this book really make everything better.,yes
605,"engineers are so wonderful, said no one ever.",yes
606,"engineers are so wonderful, said no one ever.",yes
607,"Had a engineers, best experience ever. Not.",yes
608,Because doctors really make everything better.,yes
609,Had a great time with vegetarians.,no
610,I genuinely love the concert.,no
611,Had a great time with this book.,no
612,Nothing better than a athletes moment.,yes
613,artists are genuinely amazing.,no
614,Because my new phone really make everything better.,yes
615,"Oh great, another vegetarians. Just what I needed.",yes
616,"Everyone loves the conference, right?",yes
617,"Oh great, another the workshop. Just what I needed.",yes
618,Because the game really make everything better.,yes
619,"Had a the game, best experience ever. Not.",yes
620,I genuinely love scientists.,no
621,Nothing better than a athletes moment.,yes
622,Can't wait for more of musicians.,no
623,I just love when vegetarians happens.,yes
624,"the game are so wonderful, said no one ever.",yes
625,I find this book to be wonderful.,no
626,Nothing better than a the meal moment.,yes
627,Nothing better than a scientists moment.,yes
628,"Oh great, another this book. Just what I needed.",yes
629,I genuinely love this book.,no
630,I am always excited for scientists.,no
631,Can't wait for more of this book.,no
632,Had a great time with artists.,no
633,Nothing better than a athletes moment.,yes
634,musicians are genuinely amazing.,no
635,"Had a this book, best experience ever. Not.",yes
636,Can't wait for more of engineers.,yes
637,Nothing better than a this book moment.,yes
638,Can't wait for more of the meal.,no
639,"Everyone loves doctors, right?",yes
640,the concert are genuinely amazing.,no
641,Nothing better than a athletes moment.,yes
642,"Everyone loves the conference, right?",yes
643,I just love when doctors happens.,yes
644,I am always excited for vegetarians.,no
645,"Had a the concert, best experience ever. Not.",yes
646,"Had a the conference, best experience ever. Not.",yes
647,I am always excited for artists.,no
648,"Had a vegetarians, best experience ever. Not.",yes
649,"Everyone loves musicians, right?",yes
650,Because engineers really make everything better.,yes
651,this book are genuinely amazing.,no
652,Because athletes really make everything better.,yes
653,"Everyone loves the game, right?",yes
654,"Had a the concert, best experience ever. Not.",yes
655,I am always excited for this book.,no
656,the concert are genuinely amazing.,no
657,"Oh great, another athletes. Just what I needed.",yes
658,"Had a this book, best experience ever. Not.",yes
659,Can't wait for more of doctors.,no
660,Had a great time with engineers.,no
661,I just love when this book happens.,yes
662,the conference are truly inspiring.,no
663,"Oh great, another the conference. Just what I needed.",yes
664,doctors are genuinely amazing.,no
665,I am always excited for writers.,no
666,I am always excited for the meal.,no
667,I genuinely love this movie.,no
668,I genuinely love engineers.,no
669,musicians are truly inspiring.,no
670,Can't wait for more of engineers.,no
671,Because this book really make everything better.,yes
672,doctors have always been great.,no
673,Can't wait for more of musicians.,yes
674,I genuinely love the concert.,no
675,I find scientists to be wonderful.,no
676,Can't wait for more of the game.,no
677,Can't wait for more of the meal.,no
678,Because the game really make everything better.,yes
679,Can't wait for more of writers.,yes
680,I find the conference to be wonderful.,no
681,vegetarians have always been great.,no
682,I am always excited for vegetarians.,no
683,Had a great time with the workshop.,no
684,Nothing better than a doctors moment.,yes
685,I am always excited for doctors.,no
686,I just love when scientists happens.,yes
687,"Everyone loves vegetarians, right?",yes
688,I am always excited for the concert.,no
689,Nothing better than a the meal moment.,yes
690,athletes are genuinely amazing.,no
691,"Everyone loves the concert, right?",yes
692,"vegetarians are so wonderful, said no one ever.",yes
693,Because musicians really make everything better.,yes
694,"Oh great, another the conference. Just what I needed.",yes
695,I am always excited for musicians.,no
696,I am always excited for the meal.,no
697,"Had a athletes, best experience ever. Not.",yes
698,"Had a writers, best experience ever. Not.",yes
699,I find the game to be wonderful.,no
700,the conference are genuinely amazing.,no
701,artists are genuinely amazing.,no
702,Had a great time with musicians.,no
703,Had a great time with this book.,no
704,"doctors are so wonderful, said no one ever.",yes
705,I find musicians to be wonderful.,no
706,Can't wait for more of scientists.,yes
707,Can't wait for more of the workshop.,no
708,"Oh great, another musicians. Just what I needed.",yes
709,I just love when doctors happens.,yes
710,the meal are genuinely amazing.,no
711,I find vegetarians to be wonderful.,no
712,"Had a my new phone, best experience ever. Not.",yes
713,"Had a my new phone, best experience ever. Not.",yes
714,"vegetarians are so wonderful, said no one ever.",yes
715,Because vegetarians really make everything better.,yes
716,the game have always been great.,no
717,Can't wait for more of doctors.,yes
718,"Oh great, another this movie. Just what I needed.",yes
719,I am always excited for musicians.,no
720,artists are genuinely amazing.,no
721,Because scientists really make everything better.,yes
722,Can't wait for more of the conference.,no
723,Had a great time with athletes.,no
724,I just love when writers happens.,yes
725,musicians are truly inspiring.,no
726,I genuinely love the concert.,no
727,the workshop are genuinely amazing.,no
728,"Had a the conference, best experience ever. Not.",yes
729,Can't wait for more of vegetarians.,no
730,Had a great time with writers.,no
731,this book are genuinely amazing.,no
732,Had a great time with the game.,no
733,"Had a this book, best experience ever. Not.",yes
734,Because athletes really make everything better.,yes
735,this movie are truly inspiring.,no
736,Because this book really make everything better.,yes
737,I genuinely love vegetarians.,no
738,Had a great time with the game.,no
739,I am always excited for this movie.,no
740,I find this book to be wonderful.,no
741,Can't wait for more of the conference.,no
742,Can't wait for more of the workshop.,yes
743,I am always excited for the game.,no
744,I just love when scientists happens.,yes
745,writers are genuinely amazing.,no
746,I just love when my new phone happens.,yes
747,this book have always been great.,no
748,Nothing better than a athletes moment.,yes
749,Can't wait for more of the conference.,yes
750,I am always excited for the game.,no
751,"Everyone loves engineers, right?",yes
752,I am always excited for engineers.,no
753,Can't wait for more of the conference.,yes
754,Because scientists really make everything better.,yes
755,Can't wait for more of scientists.,no
756,athletes are truly inspiring.,no
757,this book are truly inspiring.,no
758,musicians have always been great.,no
759,Because musicians really make everything better.,yes
760,Had a great time with the workshop.,no
761,"writers are so wonderful, said no one ever.",yes
762,Nothing better than a this book moment.,yes
763,the meal are truly inspiring.,no
764,athletes have always been great.,no
765,I find engineers to be wonderful.,no
766,"Oh great, another this movie. Just what I needed.",yes
767,the workshop are genuinely amazing.,no
768,Nothing better than a doctors moment.,yes
769,I just love when athletes happens.,yes
770,Can't wait for more of the meal.,no
771,"Had a this movie, best experience ever. Not.",yes
772,Nothing better than a scientists moment.,yes
773,I just love when scientists happens.,yes
774,Can't wait for more of scientists.,yes
775,"Everyone loves the meal, right?",yes
776,Can't wait for more of the game.,no
777,I genuinely love musicians.,no
778,vegetarians are truly inspiring.,no
779,Had a great time with the workshop.,no
780,"Had a the workshop, best experience ever. Not.",yes
